date,secao,secao_nome,saldo,admissoes,fonte
2007-04-01,U,Organismos internacionais,21,52,CAGED Antigo
2007-05-01,A,Agropecuária,80102,175462,CAGED Antigo
2007-05-01,B,Indústria extrativa,1566,5263,CAGED Antigo
2007-05-01,C,Indústria de transformação,55869,272851,CAGED Antigo
2007-05-01,D,Eletricidade e gás,191,790,CAGED Antigo
2007-05-01,E,"Água, esgoto e resíduos",145,5405,CAGED Antigo
2007-05-01,F,Construção,14079,121464,CAGED Antigo
2007-05-01,G,Comércio e reparação,17224,281583,CAGED Antigo
2007-05-01,H,Transporte e armazenagem,9518,59398,CAGED Antigo
2007-05-01,I,Alojamento e alimentação,677,56041,CAGED Antigo
2007-05-01,J,Informação e comunicação,2504,21055,CAGED Antigo
2007-05-01,K,Atividades financeiras,1863,11228,CAGED Antigo
2007-05-01,L,Atividades imobiliárias,512,4572,CAGED Antigo
2007-05-01,M,Atividades profissionais e científicas,1738,23086,CAGED Antigo
2007-05-01,N,Atividades administrativas e serviços,12771,156182,CAGED Antigo
2007-05-01,O,Administração pública,2315,7236,CAGED Antigo
2007-05-01,P,Educação,4579,19836,CAGED Antigo
2007-05-01,Q,Saúde humana e serviço social,4555,30248,CAGED Antigo
2007-05-01,R,"Artes, cultura e esporte",-3574,6249,CAGED Antigo
2007-05-01,S,Outros serviços,5256,31509,CAGED Antigo
2007-05-01,T,Serviços domésticos,25,485,CAGED Antigo
2007-05-01,U,Organismos internacionais,-4,67,CAGED Antigo
2007-06-01,A,Agropecuária,66209,160883,CAGED Antigo
2007-06-01,B,Indústria extrativa,1479,4791,CAGED Antigo
2007-06-01,C,Indústria de transformação,26611,230513,CAGED Antigo
2007-06-01,D,Eletricidade e gás,187,743,CAGED Antigo
2007-06-01,E,"Água, esgoto e resíduos",1322,5832,CAGED Antigo
2007-06-01,F,Construção,18567,120688,CAGED Antigo
2007-06-01,G,Comércio e reparação,29333,269754,CAGED Antigo
2007-06-01,H,Transporte e armazenagem,7931,53943,CAGED Antigo
2007-06-01,I,Alojamento e alimentação,6254,55334,CAGED Antigo
2007-06-01,J,Informação e comunicação,368,19725,CAGED Antigo
2007-06-01,K,Atividades financeiras,1139,11674,CAGED Antigo
2007-06-01,L,Atividades imobiliárias,832,4656,CAGED Antigo
2007-06-01,M,Atividades profissionais e científicas,3477,22732,CAGED Antigo
2007-06-01,N,Atividades administrativas e serviços,15764,146485,CAGED Antigo
2007-06-01,O,Administração pública,-209,6598,CAGED Antigo
2007-06-01,P,Educação,-3212,15265,CAGED Antigo
2007-06-01,Q,Saúde humana e serviço social,5637,29771,CAGED Antigo
2007-06-01,R,"Artes, cultura e esporte",-1801,6188,CAGED Antigo
2007-06-01,S,Outros serviços,1439,28153,CAGED Antigo
2007-06-01,T,Serviços domésticos,72,480,CAGED Antigo
2007-06-01,U,Organismos internacionais,-10,41,CAGED Antigo
2007-07-01,A,Agropecuária,7895,116221,CAGED Antigo
2007-07-01,B,Indústria extrativa,1358,4889,CAGED Antigo
2007-07-01,C,Indústria de transformação,26936,238118,CAGED Antigo
2007-07-01,D,Eletricidade e gás,-124,644,CAGED Antigo
2007-07-01,E,"Água, esgoto e resíduos",759,5452,CAGED Antigo
2007-07-01,F,Construção,19035,127734,CAGED Antigo
2007-07-01,G,Comércio e reparação,29201,273080,CAGED Antigo
2007-07-01,H,Transporte e armazenagem,8217,55675,CAGED Antigo
2007-07-01,I,Alojamento e alimentação,4232,56936,CAGED Antigo
2007-07-01,J,Informação e comunicação,1492,21363,CAGED Antigo
2007-07-01,K,Atividades financeiras,2512,13742,CAGED Antigo
2007-07-01,L,Atividades imobiliárias,520,4410,CAGED Antigo
2007-07-01,M,Atividades profissionais e científicas,6238,25223,CAGED Antigo
2007-07-01,N,Atividades administrativas e serviços,15768,155015,CAGED Antigo
2007-07-01,O,Administração pública,3373,8618,CAGED Antigo
2007-07-01,P,Educação,-5929,14618,CAGED Antigo
2007-07-01,Q,Saúde humana e serviço social,5007,30321,CAGED Antigo
2007-07-01,R,"Artes, cultura e esporte",-2007,5946,CAGED Antigo
2007-07-01,S,Outros serviços,2613,28873,CAGED Antigo
2007-07-01,T,Serviços domésticos,11,445,CAGED Antigo
2007-07-01,U,Organismos internacionais,-15,45,CAGED Antigo
2007-08-01,A,Agropecuária,-30895,99771,CAGED Antigo
2007-08-01,B,Indústria extrativa,794,4641,CAGED Antigo
2007-08-01,C,Indústria de transformação,36708,262268,CAGED Antigo
2007-08-01,D,Eletricidade e gás,254,830,CAGED Antigo
2007-08-01,E,"Água, esgoto e resíduos",415,5297,CAGED Antigo
2007-08-01,F,Construção,26295,133967,CAGED Antigo
2007-08-01,G,Comércio e reparação,37832,289458,CAGED Antigo
2007-08-01,H,Transporte e armazenagem,3625,53566,CAGED Antigo
2007-08-01,I,Alojamento e alimentação,6320,59283,CAGED Antigo
2007-08-01,J,Informação e comunicação,2714,22642,CAGED Antigo
2007-08-01,K,Atividades financeiras,4692,14678,CAGED Antigo
2007-08-01,L,Atividades imobiliárias,944,5028,CAGED Antigo
2007-08-01,M,Atividades profissionais e científicas,3459,25424,CAGED Antigo
2007-08-01,N,Atividades administrativas e serviços,12859,160040,CAGED Antigo
2007-08-01,O,Administração pública,2117,7534,CAGED Antigo
2007-08-01,P,Educação,15374,34275,CAGED Antigo
2007-08-01,Q,Saúde humana e serviço social,3955,31190,CAGED Antigo
2007-08-01,R,"Artes, cultura e esporte",-630,6106,CAGED Antigo
2007-08-01,S,Outros serviços,5554,32203,CAGED Antigo
2007-08-01,T,Serviços domésticos,5,453,CAGED Antigo
2007-08-01,U,Organismos internacionais,-5,56,CAGED Antigo
2007-09-01,A,Agropecuária,-18378,81248,CAGED Antigo
2007-09-01,B,Indústria extrativa,934,4264,CAGED Antigo
2007-09-01,C,Indústria de transformação,109173,291686,CAGED Antigo
2007-09-01,D,Eletricidade e gás,241,681,CAGED Antigo
2007-09-01,E,"Água, esgoto e resíduos",468,5277,CAGED Antigo
2007-09-01,F,Construção,30801,129347,CAGED Antigo
2007-09-01,G,Comércio e reparação,52164,285092,CAGED Antigo
2007-09-01,H,Transporte e armazenagem,7342,52900,CAGED Antigo
2007-09-01,I,Alojamento e alimentação,8300,56989,CAGED Antigo
2007-09-01,J,Informação e comunicação,4414,21490,CAGED Antigo
2007-09-01,K,Atividades financeiras,6024,14636,CAGED Antigo
2007-09-01,L,Atividades imobiliárias,852,4480,CAGED Antigo
2007-09-01,M,Atividades profissionais e científicas,5524,24381,CAGED Antigo
2007-09-01,N,Atividades administrativas e serviços,21995,158033,CAGED Antigo
2007-09-01,O,Administração pública,2111,6440,CAGED Antigo
2007-09-01,P,Educação,6505,19546,CAGED Antigo
2007-09-01,Q,Saúde humana e serviço social,5456,29315,CAGED Antigo
2007-09-01,R,"Artes, cultura e esporte",1020,6546,CAGED Antigo
2007-09-01,S,Outros serviços,5484,27850,CAGED Antigo
2007-09-01,T,Serviços domésticos,6,412,CAGED Antigo
2007-09-01,U,Organismos internacionais,-7,37,CAGED Antigo
2007-10-01,A,Agropecuária,-11525,87426,CAGED Antigo
2007-10-01,B,Indústria extrativa,962,4456,CAGED Antigo
2007-10-01,C,Indústria de transformação,57763,269625,CAGED Antigo
2007-10-01,D,Eletricidade e gás,66,649,CAGED Antigo
2007-10-01,E,"Água, esgoto e resíduos",440,5104,CAGED Antigo
2007-10-01,F,Construção,22206,136332,CAGED Antigo
2007-10-01,G,Comércio e reparação,65069,322914,CAGED Antigo
2007-10-01,H,Transporte e armazenagem,9241,57550,CAGED Antigo
2007-10-01,I,Alojamento e alimentação,8473,64993,CAGED Antigo
2007-10-01,J,Informação e comunicação,2432,19704,CAGED Antigo
2007-10-01,K,Atividades financeiras,5114,14687,CAGED Antigo
2007-10-01,L,Atividades imobiliárias,954,4921,CAGED Antigo
2007-10-01,M,Atividades profissionais e científicas,6032,27096,CAGED Antigo
2007-10-01,N,Atividades administrativas e serviços,22630,171310,CAGED Antigo
2007-10-01,O,Administração pública,2416,6948,CAGED Antigo
2007-10-01,P,Educação,2662,16324,CAGED Antigo
2007-10-01,Q,Saúde humana e serviço social,4622,30278,CAGED Antigo
2007-10-01,R,"Artes, cultura e esporte",723,6783,CAGED Antigo
2007-10-01,S,Outros serviços,4863,29880,CAGED Antigo
2007-10-01,T,Serviços domésticos,-58,424,CAGED Antigo
2007-10-01,U,Organismos internacionais,4,52,CAGED Antigo
2007-11-01,A,Agropecuária,-43107,72956,CAGED Antigo
2007-11-01,B,Indústria extrativa,171,3833,CAGED Antigo
2007-11-01,C,Indústria de transformação,-4098,218897,CAGED Antigo
2007-11-01,D,Eletricidade e gás,6,559,CAGED Antigo
2007-11-01,E,"Água, esgoto e resíduos",360,5168,CAGED Antigo
2007-11-01,F,Construção,8340,123226,CAGED Antigo
2007-11-01,G,Comércio e reparação,100831,337400,CAGED Antigo
2007-11-01,H,Transporte e armazenagem,7432,54073,CAGED Antigo
2007-11-01,I,Alojamento e alimentação,11567,63367,CAGED Antigo
2007-11-01,J,Informação e comunicação,-4124,18089,CAGED Antigo
2007-11-01,K,Atividades financeiras,4454,12531,CAGED Antigo
2007-11-01,L,Atividades imobiliárias,306,4116,CAGED Antigo
2007-11-01,M,Atividades profissionais e científicas,5945,25223,CAGED Antigo
2007-11-01,N,Atividades administrativas e serviços,31244,166041,CAGED Antigo
2007-11-01,O,Administração pública,28,3908,CAGED Antigo
2007-11-01,P,Educação,-1544,11298,CAGED Antigo
2007-11-01,Q,Saúde humana e serviço social,4426,27816,CAGED Antigo
2007-11-01,R,"Artes, cultura e esporte",551,6254,CAGED Antigo
2007-11-01,S,Outros serviços,2035,24656,CAGED Antigo
2007-11-01,T,Serviços domésticos,-1,416,CAGED Antigo
2007-11-01,U,Organismos internacionais,33,87,CAGED Antigo
2007-12-01,A,Agropecuária,-121649,46009,CAGED Antigo
2007-12-01,B,Indústria extrativa,563,3528,CAGED Antigo
2007-12-01,C,Indústria de transformação,-141892,141414,CAGED Antigo
2007-12-01,D,Eletricidade e gás,-200,555,CAGED Antigo
2007-12-01,E,"Água, esgoto e resíduos",329,5320,CAGED Antigo
2007-12-01,F,Construção,-25423,86312,CAGED Antigo
2007-12-01,G,Comércio e reparação,29494,272233,CAGED Antigo
2007-12-01,H,Transporte e armazenagem,-5489,43843,CAGED Antigo
2007-12-01,I,Alojamento e alimentação,7808,55483,CAGED Antigo
2007-12-01,J,Informação e comunicação,-1131,16085,CAGED Antigo
2007-12-01,K,Atividades financeiras,2947,10145,CAGED Antigo
2007-12-01,L,Atividades imobiliárias,-322,3166,CAGED Antigo
2007-12-01,M,Atividades profissionais e científicas,-2131,18343,CAGED Antigo
2007-12-01,N,Atividades administrativas e serviços,5751,145712,CAGED Antigo
2007-12-01,O,Administração pública,-18653,3296,CAGED Antigo
2007-12-01,P,Educação,-30698,6675,CAGED Antigo
2007-12-01,Q,Saúde humana e serviço social,-3081,22402,CAGED Antigo
2007-12-01,R,"Artes, cultura e esporte",-608,5514,CAGED Antigo
2007-12-01,S,Outros serviços,-12222,19478,CAGED Antigo
2007-12-01,T,Serviços domésticos,-178,265,CAGED Antigo
2007-12-01,U,Organismos internacionais,-16,58,CAGED Antigo
2008-01-01,A,Agropecuária,5873,105878,CAGED Antigo
2008-01-01,B,Indústria extrativa,1061,4432,CAGED Antigo
2008-01-01,C,Indústria de transformação,59290,275794,CAGED Antigo
2008-01-01,D,Eletricidade e gás,-253,1016,CAGED Antigo
2008-01-01,E,"Água, esgoto e resíduos",1831,6582,CAGED Antigo
2008-01-01,F,Construção,40251,155824,CAGED Antigo
2008-01-01,G,Comércio e reparação,-13068,302600,CAGED Antigo
2008-01-01,H,Transporte e armazenagem,4988,55387,CAGED Antigo
2008-01-01,I,Alojamento e alimentação,5044,64585,CAGED Antigo
2008-01-01,J,Informação e comunicação,3703,24645,CAGED Antigo
2008-01-01,K,Atividades financeiras,2942,14384,CAGED Antigo
2008-01-01,L,Atividades imobiliárias,659,3199,CAGED Antigo
2008-01-01,M,Atividades profissionais e científicas,7212,32035,CAGED Antigo
2008-01-01,N,Atividades administrativas e serviços,17491,169643,CAGED Antigo
2008-01-01,O,Administração pública,59,5832,CAGED Antigo
2008-01-01,P,Educação,-5932,17470,CAGED Antigo
2008-01-01,Q,Saúde humana e serviço social,6377,31757,CAGED Antigo
2008-01-01,R,"Artes, cultura e esporte",1413,6974,CAGED Antigo
2008-01-01,S,Outros serviços,3915,30227,CAGED Antigo
2008-01-01,T,Serviços domésticos,1,520,CAGED Antigo
2008-01-01,U,Organismos internacionais,64,138,CAGED Antigo
2008-02-01,A,Agropecuária,19494,113525,CAGED Antigo
2008-02-01,B,Indústria extrativa,834,4431,CAGED Antigo
2008-02-01,C,Indústria de transformação,48841,294218,CAGED Antigo
2008-02-01,D,Eletricidade e gás,122,816,CAGED Antigo
2008-02-01,E,"Água, esgoto e resíduos",1209,6708,CAGED Antigo
2008-02-01,F,Construção,28205,148893,CAGED Antigo
2008-02-01,G,Comércio e reparação,15436,296366,CAGED Antigo
2008-02-01,H,Transporte e armazenagem,6840,59937,CAGED Antigo
2008-02-01,I,Alojamento e alimentação,-681,63548,CAGED Antigo
2008-02-01,J,Informação e comunicação,3710,23841,CAGED Antigo
2008-02-01,K,Atividades financeiras,2722,13890,CAGED Antigo
2008-02-01,L,Atividades imobiliárias,583,2964,CAGED Antigo
2008-02-01,M,Atividades profissionais e científicas,3933,28985,CAGED Antigo
2008-02-01,N,Atividades administrativas e serviços,12349,161103,CAGED Antigo
2008-02-01,O,Administração pública,15274,21393,CAGED Antigo
2008-02-01,P,Educação,32009,60050,CAGED Antigo
2008-02-01,Q,Saúde humana e serviço social,4292,32717,CAGED Antigo
2008-02-01,R,"Artes, cultura e esporte",-327,5700,CAGED Antigo
2008-02-01,S,Outros serviços,10081,37188,CAGED Antigo
2008-02-01,T,Serviços domésticos,-15,527,CAGED Antigo
2008-02-01,U,Organismos internacionais,52,108,CAGED Antigo
2008-03-01,A,Agropecuária,11519,106546,CAGED Antigo
2008-03-01,B,Indústria extrativa,1483,5182,CAGED Antigo
2008-03-01,C,Indústria de transformação,41581,310365,CAGED Antigo
2008-03-01,D,Eletricidade e gás,75,998,CAGED Antigo
2008-03-01,E,"Água, esgoto e resíduos",1960,7738,CAGED Antigo
2008-03-01,F,Construção,34795,155700,CAGED Antigo
2008-03-01,G,Comércio e reparação,21091,321902,CAGED Antigo
2008-03-01,H,Transporte e armazenagem,13538,65740,CAGED Antigo
2008-03-01,I,Alojamento e alimentação,840,67101,CAGED Antigo
2008-03-01,J,Informação e comunicação,6807,28047,CAGED Antigo
2008-03-01,K,Atividades financeiras,3852,15572,CAGED Antigo
2008-03-01,L,Atividades imobiliárias,710,3394,CAGED Antigo
2008-03-01,M,Atividades profissionais e científicas,6330,31980,CAGED Antigo
2008-03-01,N,Atividades administrativas e serviços,24027,180056,CAGED Antigo
2008-03-01,O,Administração pública,5691,12124,CAGED Antigo
2008-03-01,P,Educação,16930,41847,CAGED Antigo
2008-03-01,Q,Saúde humana e serviço social,8664,36382,CAGED Antigo
2008-03-01,R,"Artes, cultura e esporte",143,6504,CAGED Antigo
2008-03-01,S,Outros serviços,6477,35322,CAGED Antigo
2008-03-01,T,Serviços domésticos,28,548,CAGED Antigo
2008-03-01,U,Organismos internacionais,15,92,CAGED Antigo
2008-04-01,A,Agropecuária,37016,135259,CAGED Antigo
2008-04-01,B,Indústria extrativa,2229,5672,CAGED Antigo
2008-04-01,C,Indústria de transformação,80909,340467,CAGED Antigo
2008-04-01,D,Eletricidade e gás,312,1148,CAGED Antigo
2008-04-01,E,"Água, esgoto e resíduos",1638,7244,CAGED Antigo
2008-04-01,F,Construção,33731,162044,CAGED Antigo
2008-04-01,G,Comércio e reparação,36594,325493,CAGED Antigo
2008-04-01,H,Transporte e armazenagem,19672,72257,CAGED Antigo
2008-04-01,I,Alojamento e alimentação,4851,66915,CAGED Antigo
2008-04-01,J,Informação e comunicação,2275,26580,CAGED Antigo
2008-04-01,K,Atividades financeiras,3143,15709,CAGED Antigo
2008-04-01,L,Atividades imobiliárias,536,3187,CAGED Antigo
2008-04-01,M,Atividades profissionais e científicas,8787,34708,CAGED Antigo
2008-04-01,N,Atividades administrativas e serviços,30471,182338,CAGED Antigo
2008-04-01,O,Administração pública,5194,11507,CAGED Antigo
2008-04-01,P,Educação,9122,30737,CAGED Antigo
2008-04-01,Q,Saúde humana e serviço social,9812,37544,CAGED Antigo
2008-04-01,R,"Artes, cultura e esporte",804,6439,CAGED Antigo
2008-04-01,S,Outros serviços,7379,37262,CAGED Antigo
2008-04-01,T,Serviços domésticos,-5,522,CAGED Antigo
2008-04-01,U,Organismos internacionais,52,126,CAGED Antigo
2008-06-01,A,Agropecuária,94342,187333,CAGED Antigo
2008-06-01,B,Indústria extrativa,1977,5614,CAGED Antigo
2008-06-01,C,Indústria de transformação,47031,286535,CAGED Antigo
2008-06-01,D,Eletricidade e gás,-142,964,CAGED Antigo
2008-06-01,E,"Água, esgoto e resíduos",1677,7072,CAGED Antigo
2008-06-01,F,Construção,38976,174316,CAGED Antigo
2008-06-01,G,Comércio e reparação,51278,329852,CAGED Antigo
2008-06-01,H,Transporte e armazenagem,14623,69620,CAGED Antigo
2008-06-01,I,Alojamento e alimentação,8703,66913,CAGED Antigo
2008-06-01,J,Informação e comunicação,4933,26830,CAGED Antigo
2008-06-01,K,Atividades financeiras,4869,16575,CAGED Antigo
2008-06-01,L,Atividades imobiliárias,774,3348,CAGED Antigo
2008-06-01,M,Atividades profissionais e científicas,5654,34720,CAGED Antigo
2008-06-01,N,Atividades administrativas e serviços,21364,174655,CAGED Antigo
2008-06-01,O,Administração pública,3608,9199,CAGED Antigo
2008-06-01,P,Educação,-2120,21972,CAGED Antigo
2008-06-01,Q,Saúde humana e serviço social,9646,37334,CAGED Antigo
2008-06-01,R,"Artes, cultura e esporte",385,5769,CAGED Antigo
2008-06-01,S,Outros serviços,1836,32796,CAGED Antigo
2008-06-01,T,Serviços domésticos,75,539,CAGED Antigo
2008-06-01,U,Organismos internacionais,-47,95,CAGED Antigo
2008-07-01,A,Agropecuária,47207,151676,CAGED Antigo
2008-07-01,B,Indústria extrativa,1596,5580,CAGED Antigo
2008-07-01,C,Indústria de transformação,33263,292632,CAGED Antigo
2008-07-01,D,Eletricidade e gás,142,1070,CAGED Antigo
2008-07-01,E,"Água, esgoto e resíduos",1148,6599,CAGED Antigo
2008-07-01,F,Construção,36929,185852,CAGED Antigo
2008-07-01,G,Comércio e reparação,26874,337169,CAGED Antigo
2008-07-01,H,Transporte e armazenagem,10631,67656,CAGED Antigo
2008-07-01,I,Alojamento e alimentação,3804,69677,CAGED Antigo
2008-07-01,J,Informação e comunicação,5412,29545,CAGED Antigo
2008-07-01,K,Atividades financeiras,3684,15763,CAGED Antigo
2008-07-01,L,Atividades imobiliárias,468,3333,CAGED Antigo
2008-07-01,M,Atividades profissionais e científicas,11672,40133,CAGED Antigo
2008-07-01,N,Atividades administrativas e serviços,12653,182928,CAGED Antigo
2008-07-01,O,Administração pública,6521,13456,CAGED Antigo
2008-07-01,P,Educação,-9241,19929,CAGED Antigo
2008-07-01,Q,Saúde humana e serviço social,5885,37413,CAGED Antigo
2008-07-01,R,"Artes, cultura e esporte",411,6138,CAGED Antigo
2008-07-01,S,Outros serviços,4209,35698,CAGED Antigo
2008-07-01,T,Serviços domésticos,-40,511,CAGED Antigo
2008-07-01,U,Organismos internacionais,-10,50,CAGED Antigo
2008-09-01,A,Agropecuária,-23846,103954,CAGED Antigo
2008-09-01,B,Indústria extrativa,1652,5792,CAGED Antigo
2008-09-01,C,Indústria de transformação,109810,355914,CAGED Antigo
2008-09-01,D,Eletricidade e gás,433,1214,CAGED Antigo
2008-09-01,E,"Água, esgoto e resíduos",865,6359,CAGED Antigo
2008-09-01,F,Construção,34623,185873,CAGED Antigo
2008-09-01,G,Comércio e reparação,55787,353708,CAGED Antigo
2008-09-01,H,Transporte e armazenagem,14267,72436,CAGED Antigo
2008-09-01,I,Alojamento e alimentação,9290,72381,CAGED Antigo
2008-09-01,J,Informação e comunicação,11546,35424,CAGED Antigo
2008-09-01,K,Atividades financeiras,3053,15505,CAGED Antigo
