date,faixa,admissoes,fonte
2018-08-01,30–39h,77800,CAGED Antigo
2018-08-01,40h,52536,CAGED Antigo
2018-08-01,41–43h,15294,CAGED Antigo
2018-08-01,44h (jornada máxima),1090233,CAGED Antigo
2018-08-01,Parcial (≤30h),117559,CAGED Antigo
2018-09-01,30–39h,74312,CAGED Antigo
2018-09-01,40h,46972,CAGED Antigo
2018-09-01,41–43h,13913,CAGED Antigo
2018-09-01,44h (jornada máxima),1008155,CAGED Antigo
2018-09-01,Parcial (≤30h),91239,CAGED Antigo
2018-10-01,30–39h,77624,CAGED Antigo
2018-10-01,40h,48477,CAGED Antigo
2018-10-01,41–43h,15592,CAGED Antigo
2018-10-01,44h (jornada máxima),1044008,CAGED Antigo
2018-10-01,Parcial (≤30h),93801,CAGED Antigo
2018-11-01,30–39h,73989,CAGED Antigo
2018-11-01,40h,41954,CAGED Antigo
2018-11-01,41–43h,14003,CAGED Antigo
2018-11-01,44h (jornada máxima),977417,CAGED Antigo
2018-11-01,Parcial (≤30h),82051,CAGED Antigo
2018-12-01,30–39h,69770,CAGED Antigo
2018-12-01,40h,32802,CAGED Antigo
2018-12-01,41–43h,12247,CAGED Antigo
2018-12-01,44h (jornada máxima),784035,CAGED Antigo
2018-12-01,Parcial (≤30h),62291,CAGED Antigo
2019-02-01,30–39h,82726,CAGED Antigo
2019-02-01,40h,57551,CAGED Antigo
2019-02-01,41–43h,17024,CAGED Antigo
2019-02-01,44h (jornada máxima),1132904,CAGED Antigo
2019-02-01,Parcial (≤30h),163079,CAGED Antigo
2019-04-01,30–39h,85307,CAGED Antigo
2019-04-01,40h,53488,CAGED Antigo
2019-04-01,41–43h,17403,CAGED Antigo
2019-04-01,44h (jornada máxima),1115599,CAGED Antigo
2019-04-01,Parcial (≤30h),102831,CAGED Antigo
2019-05-01,30–39h,78407,CAGED Antigo
2019-05-01,40h,52034,CAGED Antigo
2019-05-01,41–43h,16364,CAGED Antigo
2019-05-01,44h (jornada máxima),1100710,CAGED Antigo
2019-05-01,Parcial (≤30h),99789,CAGED Antigo
2019-06-01,30–39h,77391,CAGED Antigo
2019-06-01,40h,48984,CAGED Antigo
2019-06-01,41–43h,15225,CAGED Antigo
2019-06-01,44h (jornada máxima),1011285,CAGED Antigo
2019-06-01,Parcial (≤30h),95221,CAGED Antigo
2019-07-01,30–39h,77546,CAGED Antigo
2019-07-01,40h,56318,CAGED Antigo
2019-07-01,41–43h,16451,CAGED Antigo
2019-07-01,44h (jornada máxima),1076788,CAGED Antigo
2019-07-01,Parcial (≤30h),104086,CAGED Antigo
2019-10-01,30–39h,81862,CAGED Antigo
2019-10-01,40h,52000,CAGED Antigo
2019-10-01,41–43h,16250,CAGED Antigo
2019-10-01,44h (jornada máxima),1113916,CAGED Antigo
2019-10-01,Parcial (≤30h),101026,CAGED Antigo
2019-11-01,30–39h,82049,CAGED Antigo
2019-11-01,40h,48442,CAGED Antigo
2019-11-01,41–43h,15375,CAGED Antigo
2019-11-01,44h (jornada máxima),1050245,CAGED Antigo
2019-11-01,Parcial (≤30h),95726,CAGED Antigo
2019-12-01,30–39h,73608,CAGED Antigo
2019-12-01,40h,35321,CAGED Antigo
2019-12-01,41–43h,11800,CAGED Antigo
2019-12-01,44h (jornada máxima),805386,CAGED Antigo
2019-12-01,Parcial (≤30h),64733,CAGED Antigo
