date,faixa,admissoes,fonte
2008-12-01,44h (jornada máxima),768003,CAGED Antigo
2008-12-01,Parcial (≤30h),31666,CAGED Antigo
2009-01-01,30–39h,57596,CAGED Antigo
2009-01-01,40h,30283,CAGED Antigo
2009-01-01,41–43h,8048,CAGED Antigo
2009-01-01,44h (jornada máxima),1080386,CAGED Antigo
2009-01-01,Parcial (≤30h),40237,CAGED Antigo
2009-02-01,30–39h,61100,CAGED Antigo
2009-02-01,40h,29337,CAGED Antigo
2009-02-01,41–43h,8040,CAGED Antigo
2009-02-01,44h (jornada máxima),1046487,CAGED Antigo
2009-02-01,Parcial (≤30h),88590,CAGED Antigo
2009-03-01,30–39h,62974,CAGED Antigo
2009-03-01,40h,30638,CAGED Antigo
2009-03-01,41–43h,8926,CAGED Antigo
2009-03-01,44h (jornada máxima),1241635,CAGED Antigo
2009-03-01,Parcial (≤30h),75338,CAGED Antigo
2009-04-01,30–39h,62243,CAGED Antigo
2009-04-01,40h,29797,CAGED Antigo
2009-04-01,41–43h,8280,CAGED Antigo
2009-04-01,44h (jornada máxima),1192833,CAGED Antigo
2009-04-01,Parcial (≤30h),57293,CAGED Antigo
2009-05-01,30–39h,58470,CAGED Antigo
2009-05-01,40h,28080,CAGED Antigo
2009-05-01,41–43h,8538,CAGED Antigo
2009-05-01,44h (jornada máxima),1200727,CAGED Antigo
2009-05-01,Parcial (≤30h),52760,CAGED Antigo
2009-07-01,30–39h,57732,CAGED Antigo
2009-07-01,40h,31468,CAGED Antigo
2009-07-01,41–43h,9021,CAGED Antigo
2009-07-01,44h (jornada máxima),1248628,CAGED Antigo
2009-07-01,Parcial (≤30h),51332,CAGED Antigo
2009-09-01,30–39h,65354,CAGED Antigo
2009-09-01,40h,30962,CAGED Antigo
2009-09-01,41–43h,10709,CAGED Antigo
2009-09-01,44h (jornada máxima),1326849,CAGED Antigo
2009-09-01,Parcial (≤30h),57706,CAGED Antigo
2009-12-01,30–39h,64179,CAGED Antigo
2009-12-01,40h,22354,CAGED Antigo
2009-12-01,41–43h,8448,CAGED Antigo
2009-12-01,44h (jornada máxima),938064,CAGED Antigo
2009-12-01,Parcial (≤30h),35436,CAGED Antigo
2010-01-01,30–39h,64848,CAGED Antigo
2010-01-01,40h,32242,CAGED Antigo
2010-01-01,41–43h,10053,CAGED Antigo
2010-01-01,44h (jornada máxima),1257335,CAGED Antigo
2010-01-01,Parcial (≤30h),45984,CAGED Antigo
2010-02-01,30–39h,69452,CAGED Antigo
2010-02-01,40h,35260,CAGED Antigo
2010-02-01,41–43h,10507,CAGED Antigo
2010-02-01,44h (jornada máxima),1313823,CAGED Antigo
2010-02-01,Parcial (≤30h),97279,CAGED Antigo
2010-03-01,30–39h,82477,CAGED Antigo
2010-03-01,40h,40891,CAGED Antigo
2010-03-01,41–43h,12514,CAGED Antigo
2010-03-01,44h (jornada máxima),1594239,CAGED Antigo
2010-03-01,Parcial (≤30h),89924,CAGED Antigo
2010-04-01,30–39h,72477,CAGED Antigo
2010-04-01,40h,37779,CAGED Antigo
2010-04-01,41–43h,11717,CAGED Antigo
2010-04-01,44h (jornada máxima),1466849,CAGED Antigo
2010-04-01,Parcial (≤30h),71253,CAGED Antigo
2010-08-01,30–39h,77345,CAGED Antigo
2010-08-01,40h,40402,CAGED Antigo
2010-08-01,41–43h,13628,CAGED Antigo
2010-08-01,44h (jornada máxima),1519045,CAGED Antigo
2010-08-01,Parcial (≤30h),90239,CAGED Antigo
2010-09-01,30–39h,78462,CAGED Antigo
2010-09-01,40h,37729,CAGED Antigo
2010-09-01,41–43h,11932,CAGED Antigo
2010-09-01,44h (jornada máxima),1492825,CAGED Antigo
2010-09-01,Parcial (≤30h),67637,CAGED Antigo
2010-11-01,30–39h,79133,CAGED Antigo
2010-11-01,40h,31037,CAGED Antigo
2010-11-01,41–43h,12855,CAGED Antigo
2010-11-01,44h (jornada máxima),1397748,CAGED Antigo
2010-11-01,Parcial (≤30h),56099,CAGED Antigo
2011-01-01,30–39h,77413,CAGED Antigo
2011-01-01,40h,39999,CAGED Antigo
2011-01-01,41–43h,12520,CAGED Antigo
2011-01-01,44h (jornada máxima),1465760,CAGED Antigo
2011-01-01,Parcial (≤30h),55744,CAGED Antigo
2011-02-01,30–39h,96056,CAGED Antigo
2011-02-01,40h,45562,CAGED Antigo
2011-02-01,41–43h,13479,CAGED Antigo
2011-02-01,44h (jornada máxima),1525312,CAGED Antigo
2011-02-01,Parcial (≤30h),116808,CAGED Antigo
2011-04-01,30–39h,90005,CAGED Antigo
2011-04-01,40h,44466,CAGED Antigo
2011-04-01,41–43h,13810,CAGED Antigo
2011-04-01,44h (jornada máxima),1552281,CAGED Antigo
2011-04-01,Parcial (≤30h),73816,CAGED Antigo
2011-05-01,30–39h,92229,CAGED Antigo
2011-05-01,40h,43531,CAGED Antigo
2011-05-01,41–43h,14407,CAGED Antigo
2011-05-01,44h (jornada máxima),1692084,CAGED Antigo
2011-05-01,Parcial (≤30h),70414,CAGED Antigo
2011-06-01,30–39h,83195,CAGED Antigo
2011-06-01,40h,39111,CAGED Antigo
2011-06-01,41–43h,12396,CAGED Antigo
2011-06-01,44h (jornada máxima),1585616,CAGED Antigo
